id,university,program,website,deadline,notes
"1","Saint Louise University","PhD in Biomedical Engineering","https://catalog.slu.edu/colleges-schools/science-engineering/biomedical/biomedical-engineering-phd/#text","2025-12-01","no app fee"
"2","Boston University","PhD in Biomedical Engineering","https://www.bu.edu/eng/academics/explore-degree-programs/phd-in-biomedical-engineering/","2025-12-15",""
"3","Clemson University","PhD in Bioengineering","https://www.clemson.edu/degrees/bioengineering/grad","2026-01-15",""
"4","Illinois Institute of Technology","PhD in Biomedical Engineering","https://www.iit.edu/academics/programs/biomedical-engineering-phd","2026-01-15",""
"5","Tulane University","PhD in Biomedical Engineering","https://sse.tulane.edu/bme/phd-program","2026-01-05","no app fee"
"6","Case Western Reserve University","PhD in Biomedical Engineering","https://case.edu/programs/biomedical-engineering-phd","2025-12-01",""
"7","University of North Carolina","PhD in Biomedical Engineering","https://bme.unc.edu/graduate/doctor-of-philosophy/","2025-12-01","UNC Chapel Hill"
"8","University of Wisconsin-Madison","PhD in Biomedical Engineering","https://engineering.wisc.edu/programs/degrees/biomedical-engineering-phd/","2025-12-01",""
"9","University of Maine","PhD in Biomedical Engineering","https://gsbse.umaine.edu/programs/ph-d-biomedical-engineering/","2026-01-15",""
"10","Missouri S&T","PhD in Bioengineering","https://chbe.mst.edu/academicprograms/phd-bioeng/","2026-01-15","we will waive app fee through attend session, but we need test waive"
"11","Rutgers University","PhD in Biomedical Engineering","https://bme.rutgers.edu/doctoral-degree","2025-12-15",""
"12","University of Nebraska-Lincoln","PhD in Biomedical Engineering","https://graduate.unl.edu/academics/programs/BIOE-PHD/","2026-01-15",""
"13","UT Southwestern Medical Center","PhD in Biomedical Engineering","https://www.utsouthwestern.edu/education/graduate-school/programs/biomedical-engineering/","2025-12-01","no application fee, need test but still the best program"
"14","University of Texas Dallas","PhD in Biomedical Engineering","https://www.utdallas.edu/fact-sheets/ecs/phd-biomedical-engineering/#","2025-12-01",""
"15","University of Vermont","PhD in Biomedical Engineering","https://www.uvm.edu/cems/ebe/program/phd-biomedical-engineering","2026-01-15",""
"16","University of Texas Arlington","PhD in Biomedical Engineering","https://www.uta.edu/academics/programs/biomedical-engineering-phd","2026-02-01","need second check"
